"platform","source_file","package_file","hash_match","source_sha256","package_sha256"
"portal","TGS Internal Portal - Retreat Venue TGS Internal V2.html","portal-pages/TGS Internal Portal - Retreat Venue TGS Internal V2.html","True","08D8541FFED79554E03DEF70655BA256C3AD4EDC56DA50CE21AF4B0D6D49FF1F","08D8541FFED79554E03DEF70655BA256C3AD4EDC56DA50CE21AF4B0D6D49FF1F"
"portal","TGS Internal Portal - Retreat Venue Wellness Facilities V2.html","portal-pages/TGS Internal Portal - Retreat Venue Wellness Facilities V2.html","True","DB07DBCA8650C61A2C4F9221CEA1649BA49BA5F3A13182507454B44FACB31DDB","DB07DBCA8650C61A2C4F9221CEA1649BA49BA5F3A13182507454B44FACB31DDB"
"portal","TGS Internal Portal - Retreat Venue Wellness Services V2.html","portal-pages/TGS Internal Portal - Retreat Venue Wellness Services V2.html","True","67FFFA21DEED19E00104234661C33C09105D729067F772DB061A36AC245505D6","67FFFA21DEED19E00104234661C33C09105D729067F772DB061A36AC245505D6"
"portal","TGS Internal Portal - Wellness Guest General Dashboard.html","portal-pages/TGS Internal Portal - Wellness Guest General Dashboard.html","True","F5254AD90B3810ED2A287697173F14CFB6251477E0C5A5CED66E686FAA4318D5","F5254AD90B3810ED2A287697173F14CFB6251477E0C5A5CED66E686FAA4318D5"
"portal","TGS Internal Portal - Wellness Guest Individual Profile.html","portal-pages/TGS Internal Portal - Wellness Guest Individual Profile.html","True","A0745DCA4930845FC03882000FA0DEDBC45A7FEE3538B7EDB3C343A78AF70140","A0745DCA4930845FC03882000FA0DEDBC45A7FEE3538B7EDB3C343A78AF70140"
"portal","TGS Internal Portal - Wellness Venue Accommodation Tab V2.html","portal-pages/TGS Internal Portal - Wellness Venue Accommodation Tab V2.html","True","403251710FB7AE0C5A9CE87D7E1901A1006CDD80961C52F62FB343AE221EBA4A","403251710FB7AE0C5A9CE87D7E1901A1006CDD80961C52F62FB343AE221EBA4A"
"portal","TGS Internal Portal - Wellness Venue Amenities V2.html","portal-pages/TGS Internal Portal - Wellness Venue Amenities V2.html","True","01E680D0483E02E4040451D63B002C1CEA6B0E01D7C26E876586D5C55DB723C2","01E680D0483E02E4040451D63B002C1CEA6B0E01D7C26E876586D5C55DB723C2"
"portal","TGS Internal Portal - Wellness Venue Booking Pricing Tab V2.html","portal-pages/TGS Internal Portal - Wellness Venue Booking Pricing Tab V2.html","True","A97D039FEB6161D366B02350145D0E6AF81C942AF490D383867A88874BA0B30F","A97D039FEB6161D366B02350145D0E6AF81C942AF490D383867A88874BA0B30F"
"portal","TGS Internal Portal - Wellness Venue Bookings V2.html","portal-pages/TGS Internal Portal - Wellness Venue Bookings V2.html","True","C91D3E97E270BB79C6EA243D01BA4F98F5742BCCA3D7247C0C1E6045807612A1","C91D3E97E270BB79C6EA243D01BA4F98F5742BCCA3D7247C0C1E6045807612A1"
"portal","TGS Internal Portal - Wellness Venue Facilities Tab V2.html","portal-pages/TGS Internal Portal - Wellness Venue Facilities Tab V2.html","True","B1FAA926C7A5A2C03256A310F92A2C2587772024DCB6B9B249401D5273ADC800","B1FAA926C7A5A2C03256A310F92A2C2587772024DCB6B9B249401D5273ADC800"
"portal","TGS Internal Portal - Wellness Venue Media V2.html","portal-pages/TGS Internal Portal - Wellness Venue Media V2.html","True","DB4B1ACF2F0F00758CF4D945C44CB987A25453F8F1D7E57B0D3C40E51DE0BF79","DB4B1ACF2F0F00758CF4D945C44CB987A25453F8F1D7E57B0D3C40E51DE0BF79"
"portal","TGS Internal Portal - Wellness Venue Owner Manager Tab V2.html","portal-pages/TGS Internal Portal - Wellness Venue Owner Manager Tab V2.html","True","685A899BF1D67A3441B500AAB8C69432BA01172CE41A09B415F238F0B93941F7","685A899BF1D67A3441B500AAB8C69432BA01172CE41A09B415F238F0B93941F7"
"portal","TGS Internal Portal - Wellness Venue Services V2.html","portal-pages/TGS Internal Portal - Wellness Venue Services V2.html","True","25C5E071AE2401943B7B9720C40F8199D0DD7B2ABB074249674D0B2F45A55A1F","25C5E071AE2401943B7B9720C40F8199D0DD7B2ABB074249674D0B2F45A55A1F"
